"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.032200750E0,1.234688190E-1,-1.425962820E0,-1.796643548E0
1.042134750E0,-4.262185324E-2,-1.402109104E0,-1.679116852E0
1.052067750E0,-2.557602642E-1,-1.379523064E0,-1.615638894E0
1.062000750E0,-3.510625885E-1,-1.341704443E0,-1.597109068E0
1.071933750E0,-4.268429785E-1,-1.220823199E0,-1.703270531E0
1.081866750E0,-3.738276994E-1,-1.051587237E0,-1.818390512E0
1.091800750E0,-2.383242873E-1,-8.130804795E-1,-1.858124682E0
1.101733750E0,-2.045611851E-4,-5.636575556E-1,-1.701687105E0
1.111666750E0,2.426083230E-1,-4.155060679E-1,-1.467295033E0
1.121599750E0,3.655791785E-1,-2.855973083E-1,-1.102829311E0
1.131532750E0,3.613647247E-1,-9.911790669E-2,-7.450311685E-1
1.141466750E0,3.642667344E-1,-2.327425718E-2,-4.148219436E-1
1.151399750E0,3.995369930E-1,6.346567869E-3,-1.226845247E-1
1.161332750E0,3.739652917E-1,7.006835461E-2,1.048744905E-1
1.171265750E0,2.723066602E-1,9.427407324E-2,2.685614455E-1
1.181198750E0,8.872009546E-2,1.161952847E-1,2.473138332E-1
1.191132750E0,-7.042569257E-2,1.818057221E-1,6.157527387E-2
1.201065750E0,-1.007483114E-1,2.007547939E-1,-1.509745234E-1
1.210998750E0,-1.628756903E-1,2.038584960E-1,-3.917774820E-1
1.220931750E0,-2.195371469E-1,2.445796752E-1,-5.542172259E-1
1.230864750E0,-1.130978867E-1,2.394844115E-1,-4.538521081E-1
1.240798750E0,-3.678682538E-2,3.429397827E-1,-2.561770427E-1
1.250731750E0,7.112825381E-2,5.410440338E-1,1.278903008E-2
1.260664750E0,2.353446193E-1,6.521610117E-1,3.730938739E-1
1.270597750E0,2.530103004E-1,6.886996776E-1,4.727830535E-1
1.280530750E0,-6.506631743E-2,7.657993090E-1,4.182466578E-1
1.290464750E0,-5.979742795E-1,6.942942935E-1,1.712596840E-1
1.300397750E0,-9.925924120E-1,5.622729349E-1,-3.575233233E-1
1.310330750E0,-1.269885724E0,7.957926017E-1,-5.499341404E-1
1.320263750E0,-1.322965432E0,1.352273285E0,-2.480652004E-1
1.330197750E0,-1.094862918E0,1.808083041E0,4.749856997E-1
1.340130750E0,-6.199994253E-1,1.869660653E0,1.377501097E0
1.350063750E0,-2.417286825E-1,1.794849038E0,2.291774075E0
1.359996750E0,-5.002832031E-2,1.613114651E0,2.989809417E0
1.369929750E0,6.077168372E-2,1.169194624E0,3.359230070E0
1.379863750E0,-1.497063354E-1,5.978158200E-1,3.222302898E0
1.389796750E0,-7.530162723E-1,3.020852870E-1,2.514372897E0
1.399729750E0,-1.442218664E0,2.824497521E-1,1.696863152E0
1.409662750E0,-1.944666105E0,4.388259333E-1,1.090227392E0
1.419595750E0,-2.053896771E0,4.806393725E-1,6.984686208E-1
1.429529750E0,-1.825457750E0,3.542143840E-1,5.482752854E-1
1.439462750E0,-1.455721055E0,2.239232165E-1,7.047812748E-1
1.449395750E0,-1.050548771E0,2.274216056E-2,1.171369203E0
1.459328750E0,-7.345318349E-1,-2.630288100E-1,1.673419910E0
1.469261750E0,-4.435465002E-1,-6.134232080E-1,1.860088761E0
1.479195750E0,-3.106717039E-1,-9.082918614E-1,1.654716421E0
1.489128750E0,-2.805152008E-1,-1.092090315E0,1.282115468E0
1.499061750E0,-4.013922049E-1,-1.151175844E0,8.257414556E-1
1.508994750E0,-4.976546969E-1,-1.185042332E0,3.991783029E-1
1.518927750E0,-4.318541885E-1,-1.235523684E0,4.330506384E-2
1.528861750E0,-2.351683989E-1,-1.337172850E0,-2.367011368E-1
1.538794750E0,6.854528284E-2,-1.568451279E0,-5.031301028E-1
1.548727750E0,2.143255053E-1,-1.729136274E0,-6.570463604E-1
1.558660750E0,1.488421718E-1,-1.771226871E0,-7.493031442E-1
1.568593750E0,8.757848142E-2,-1.950630557E0,-8.835329962E-1
1.578527750E0,8.154832100E-2,-2.131535808E0,-1.079739241E0
1.588460750E0,-3.303872360E-2,-2.185833052E0,-1.265084283E0
1.598393750E0,-2.045836603E-1,-2.073075930E0,-1.339748549E0
1.608326750E0,-1.388650494E-1,-2.020758553E0,-1.329430552E0
1.618259750E0,-5.581944837E-2,-2.025785989E0,-1.280453104E0
1.628193750E0,-4.473950918E-2,-1.857326537E0,-1.258696784E0
1.638126750E0,-1.182132559E-4,-1.664225163E0,-1.277078676E0
1.648060125E0,3.980524032E-2,-1.580213538E0,-1.402818956E0
1.657993125E0,-8.214134288E-3,-1.487928103E0,-1.510493093E0
1.667927125E0,-3.767316506E-2,-1.326105241E0,-1.539480665E0
1.677860125E0,-9.038653364E-4,-1.147870998E0,-1.436524061E0
1.687793125E0,8.151717545E-2,-9.555677694E-1,-1.148280888E0
1.697726125E0,1.383634497E-1,-8.259864539E-1,-7.722534657E-1
1.707659125E0,1.827420806E-1,-8.039085370E-1,-4.813989258E-1
1.717593125E0,1.037566308E-1,-7.618729037E-1,-3.451453525E-1
1.727526125E0,-4.380563118E-2,-7.038217467E-1,-3.264377707E-1
1.737459125E0,-2.058915363E-1,-6.368565094E-1,-5.566210163E-1
1.747392125E0,-3.746080104E-1,-4.939587450E-1,-8.381357986E-1
1.757325125E0,-4.793196924E-1,-2.528645951E-1,-9.982506895E-1
1.767259125E0,-4.180459522E-1,1.084775448E-2,-9.273836052E-1
1.777192125E0,-2.530173536E-1,2.834829551E-1,-4.472090864E-1
1.787125125E0,-1.485386282E-1,5.888052607E-1,2.989687210E-1
1.797058125E0,1.544483542E-2,8.593500817E-1,1.036030135E0
1.806991125E0,1.632792761E-1,1.066514593E0,1.659269063E0
1.816925125E0,2.554388683E-1,1.164149061E0,1.943720317E0
1.826858125E0,2.490296439E-1,1.276588680E0,1.925974018E0
1.836791125E0,1.531798191E-1,1.273524154E0,1.529899417E0
1.846724125E0,2.170463061E-1,1.097617103E0,9.985073823E-1
1.856657125E0,4.955947229E-1,8.973178071E-1,5.591218704E-1
1.866591125E0,9.536055169E-1,1.033728670E0,4.165018487E-1
1.876524125E0,1.223473596E0,1.435076290E0,6.845066392E-1
1.886457125E0,1.140664451E0,1.891660218E0,1.176188478E0
1.896390125E0,9.231901284E-1,2.120474630E0,1.655438552E0
1.906323125E0,5.468646080E-1,2.122345154E0,2.120243665E0
1.916257125E0,1.365962567E-1,1.856821337E0,2.635315536E0
1.926190125E0,-6.892505949E-2,1.311494218E0,3.096994727E0
1.936123125E0,-1.550909084E-1,7.649602336E-1,3.263069685E0
1.946056125E0,-2.589246311E-1,4.411765140E-1,3.013375450E0
1.955990125E0,-2.800435132E-1,2.643964738E-1,2.460992496E0
1.965923125E0,-1.715872011E-1,1.558937860E-1,1.808221620E0
1.975856125E0,-6.341789598E-2,1.608188957E-1,1.207994993E0
1.985789125E0,-1.311232628E-2,2.658670485E-1,6.629216427E-1
1.995722125E0,4.052951848E-2,3.894005889E-1,2.693671918E-1
2.005656125E0,2.724583954E-1,3.554422992E-1,1.522614956E-1
2.015589125E0,6.785250107E-1,8.405197084E-2,2.088251209E-1
2.025522125E0,9.646908876E-1,-2.388102275E-1,2.188460791E-1
2.035455125E0,1.040327984E0,-4.591344827E-1,4.061125159E-2
2.045388125E0,9.893618254E-1,-6.358607286E-1,-1.934036744E-1
2.055322125E0,8.098541321E-1,-8.130009574E-1,-4.336844766E-1
2.065255125E0,6.553695251E-1,-9.590807766E-1,-6.109381413E-1
2.075188125E0,3.719596237E-1,-1.044715589E0,-6.682607353E-1
2.085121125E0,1.286025647E-1,-1.141012799E0,-7.534002882E-1
2.095054125E0,-3.975993354E-2,-1.264606565E0,-8.556815386E-1
2.104988125E0,-9.993130920E-2,-1.429195746E0,-9.658921981E-1
2.114921125E0,-6.775986473E-2,-1.554782243E0,-1.155761815E0
2.124854125E0,-1.395381096E-1,-1.633113298E0,-1.475108668E0
2.134787125E0,-3.206408411E-1,-1.613015249E0,-1.823842456E0
2.144720125E0,-4.698547314E-1,-1.628027975E0,-2.066703050E0
2.154654125E0,-5.397946665E-1,-1.698555336E0,-2.243353282E0
2.164587125E0,-5.752582122E-1,-1.693346636E0,-2.413272784E0
2.174520125E0,-4.754363007E-1,-1.618850185E0,-2.479270892E0
2.184453125E0,-4.119885291E-1,-1.455977163E0,-2.428314162E0
2.194386125E0,-3.514362256E-1,-1.285878736E0,-2.247286704E0
2.204320125E0,-2.762571487E-1,-1.118196378E0,-1.900407652E0
2.214253125E0,-2.595500091E-1,-9.092595756E-1,-1.535188808E0
2.224186125E0,-1.125729164E-1,-7.320363164E-1,-1.220350159E0
2.234119125E0,-3.741885914E-2,-5.429461330E-1,-9.257504779E-1
2.244053125E0,-8.210328572E-2,-3.716314852E-1,-6.078829712E-1
2.253986125E0,-8.727478252E-2,-1.696095997E-1,-3.618040699E-1
2.263919125E0,9.945218470E-3,-8.383562386E-2,-2.213223749E-1
2.273852125E0,1.264076113E-1,-4.533463240E-2,-1.125939846E-1
2.283785125E0,3.037838666E-2,5.731733143E-2,-6.667463064E-2
2.293719125E0,-1.560375726E-1,2.163557500E-1,-1.533362138E-1
2.303652125E0,-2.837510682E-1,3.595125461E-1,-2.109833282E-1
2.313585125E0,-2.436596158E-1,4.215035570E-1,-2.102974498E-1
2.323518125E0,-6.725330399E-2,4.531381631E-1,-1.957220954E-1
2.333451125E0,1.664688226E-1,6.297544813E-1,-1.465820950E-1
2.343385125E0,3.600181840E-1,8.716005832E-1,3.052246571E-3
2.353318125E0,5.124442057E-1,1.068216133E0,2.487300289E-1
2.363251125E0,5.138918666E-1,1.172162086E0,4.649489540E-1
2.373184125E0,2.995884163E-1,1.101943458E0,4.031982636E-1
2.383117125E0,-2.808123124E-1,8.910694724E-1,4.163860738E-2
2.393051125E0,-8.915835889E-1,9.294470876E-1,-2.922198647E-1
2.402984125E0,-1.193596297E0,1.299761195E0,-3.627980965E-1
2.412917125E0,-1.113014283E0,1.711387051E0,4.086677492E-2
2.422850125E0,-7.888708140E-1,2.205586701E0,8.767853093E-1
2.432783125E0,-3.563452190E-1,2.414467955E0,1.989693466E0
2.442717125E0,2.048467850E-2,2.328755375E0,2.987064149E0
2.452650125E0,2.903276327E-1,1.980750149E0,3.727535659E0
2.462583125E0,3.153204231E-1,1.478719323E0,4.029110484E0
2.472516125E0,1.820721724E-1,9.202353841E-1,3.770561226E0
2.482450125E0,-1.474735761E-1,3.781353432E-1,2.983596750E0
2.492383125E0,-7.496609938E-1,2.185841238E-1,2.055217949E0
2.502316125E0,-1.360480437E0,3.500435650E-1,1.175268711E0
2.512249125E0,-1.575503314E0,4.210720325E-1,4.443743563E-1
2.522182125E0,-1.438632275E0,3.662918079E-1,-1.012854695E-2
2.532116125E0,-1.164996542E0,3.570157850E-1,-1.813823837E-1
2.542049125E0,-8.388564679E-1,2.554730380E-1,3.724208593E-2
2.551982125E0,-5.499000073E-1,1.476831257E-2,5.619536769E-1
2.561915125E0,-4.108677275E-1,-2.308936822E-1,1.096322529E0
2.571848125E0,-3.157850574E-1,-4.715130383E-1,1.341672283E0
2.581782125E0,-3.078184454E-1,-6.699967736E-1,1.351849362E0
2.591715125E0,-3.724660656E-1,-7.152220631E-1,1.099142057E0
2.601648125E0,-4.089676748E-1,-6.688793707E-1,8.326247978E-1
2.611581125E0,-3.405989230E-1,-6.256976831E-1,6.501864070E-1
2.621514125E0,-1.199354928E-1,-5.500025529E-1,6.328698778E-1
2.631448125E0,1.769774203E-1,-5.498791766E-1,6.704347301E-1
2.641381125E0,5.040357999E-1,-7.934010905E-1,6.133495331E-1
2.651314125E0,6.428535600E-1,-1.101576837E0,4.456578201E-1
2.661247125E0,5.988823521E-1,-1.298613387E0,1.830640429E-1
2.671181125E0,4.700672046E-1,-1.535150802E0,-2.157470548E-1
2.681114125E0,3.534661596E-1,-1.795602159E0,-6.923676360E-1
2.691047125E0,2.311982856E-1,-1.985921427E0,-1.106079193E0
2.700980125E0,1.273481542E-1,-2.066348709E0,-1.510014206E0
2.710913125E0,7.719472177E-2,-2.045895733E0,-1.745927723E0
2.720847125E0,1.619608569E-1,-2.035318120E0,-1.901298183E0
2.730780125E0,2.394722054E-1,-2.018111519E0,-2.064954148E0
2.740713125E0,2.577823958E-1,-1.889849920E0,-2.188606972E0
2.750646125E0,2.956794064E-1,-1.629156488E0,-2.231123246E0
2.760579125E0,4.152672091E-1,-1.384041792E0,-2.204357032E0
2.770513125E0,4.981485674E-1,-1.198816618E0,-2.049895813E0
2.780446125E0,4.900149077E-1,-9.431319112E-1,-1.740819011E0
2.790379125E0,5.406653900E-1,-8.056393129E-1,-1.338638163E0
2.800312125E0,5.532139168E-1,-8.044242615E-1,-1.044787509E0
2.810245125E0,5.132613540E-1,-7.525419170E-1,-1.007197514E0
2.820179125E0,3.971042224E-1,-5.669489533E-1,-1.076116891E0
2.830112125E0,2.923812844E-1,-4.755534643E-1,-1.202058899E0
2.840045125E0,1.593332278E-1,-3.926417005E-1,-1.334179076E0
2.849978125E0,1.200912114E-2,-2.350270790E-1,-1.273864462E0
2.859912125E0,5.064218659E-3,-9.511607230E-2,-1.022145336E0
2.869845125E0,1.132962717E-1,-3.229475677E-2,-5.631441700E-1
2.879778125E0,2.162357541E-1,1.331364226E-1,3.931083083E-2
2.889711125E0,2.866743654E-1,3.053573889E-1,6.214420795E-1
2.899644125E0,2.872377081E-1,3.770337278E-1,1.074672629E0
2.909578125E0,3.059147016E-1,4.220438397E-1,1.477863876E0
2.919511125E0,2.477008641E-1,5.093006694E-1,1.776011063E0
2.929444125E0,2.972525267E-2,6.298953992E-1,1.628524404E0
2.939377125E0,4.253446477E-2,5.604755008E-1,1.154716333E0
2.949310125E0,3.183798325E-1,3.808057666E-1,7.550977349E-1
2.959244125E0,5.738395315E-1,5.786620957E-1,4.765913451E-1
2.969177125E0,9.270367192E-1,1.257766492E0,6.321898466E-1
2.979110125E0,1.244126254E0,1.963842925E0,1.192022738E0
2.989043125E0,1.541774235E0,2.095549119E0,1.844545108E0
2.998976125E0,1.613616343E0,1.990778709E0,2.584255895E0
3.008910125E0,1.126275842E0,1.807197188E0,3.586489708E0
3.018843125E0,5.828865262E-1,1.355843010E0,4.489558836E0
