"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.455526757E1,6.508791753E1,2.538326277E1,3.780795026E0,9.685745410E-1,2.376737281E2,4.223917700E0,5.236903993E0
9.555526567E1,6.508790565E1,2.538324265E1,3.252625614E0,1.282713796E0,2.274216489E2,4.139719049E0,5.001911656E0
9.655526340E1,6.508789623E1,2.538321588E1,3.240165364E0,1.503729848E0,2.293591091E2,4.135346334E0,4.696732691E0
9.755526114E1,6.508788728E1,2.538319650E1,3.413702755E0,1.475527860E0,2.289455409E2,4.092260639E0,4.967271844E0
9.855525839E1,6.508788022E1,2.538317313E1,3.104221723E0,1.410607373E0,2.340416451E2,4.119606869E0,5.167047168E0
9.955525565E1,6.508787014E1,2.538314630E1,3.218321317E0,1.538221518E0,2.337631435E2,4.215953088E0,5.219714064E0
1.005552526E2,6.508786576E1,2.538312215E1,3.047267078E0,1.425805274E0,2.394647812E2,4.139915048E0,5.188449061E0
1.015552485E2,6.508786328E1,2.538309296E1,2.702878992E0,1.365800960E0,2.480885692E2,4.222970870E0,5.133259971E0
1.025552458E2,6.508786218E1,2.538306217E1,2.918186675E0,1.361605060E0,2.561983445E2,4.211886351E0,4.696017660E0
1.035552408E2,6.508787162E1,2.538302951E1,2.645180814E0,1.428419294E0,2.825191693E2,4.325855045E0,5.301874972E0
1.045552374E2,6.508788003E1,2.538300211E1,2.737831144E0,1.477461506E0,2.925751624E2,4.309414651E0,5.320259406E0
1.055552380E2,6.508789020E1,2.538297995E1,2.487573017E0,1.406864364E0,3.011135614E2,4.385928267E0,5.429264622E0
1.065552284E2,6.508790079E1,2.538295940E1,2.147205334E0,1.417841852E0,3.078988327E2,4.372625630E0,4.949412648E0
1.075552232E2,6.508791011E1,2.538293608E1,2.039954505E0,1.398637693E0,3.088179403E2,4.379438713E0,5.300059484E0
1.085552185E2,6.508792002E1,2.538291085E1,2.037184478E0,1.385866759E0,3.079110170E2,4.460452768E0,5.423217864E0
1.095552131E2,6.508793079E1,2.538288197E1,2.016262076E0,1.560593930E0,3.090319234E2,4.537812152E0,5.401669472E0
1.105552086E2,6.508794289E1,2.538286660E1,1.524733799E0,1.437650706E0,3.160450971E2,4.550875351E0,5.680338041E0
1.115552033E2,6.508795432E1,2.538284557E1,1.498307393E0,1.442441349E0,3.184614421E2,4.436714361E0,5.483121664E0
1.125551980E2,6.508796486E1,2.538282163E1,1.540321489E0,1.428070031E0,3.182166334E2,4.511384570E0,5.616038202E0
1.135551922E2,6.508797400E1,2.538279719E1,1.311578202E0,1.421181277E0,3.134980639E2,4.536703386E0,5.571448144E0
1.145551867E2,6.508798334E1,2.538277237E1,1.430094327E0,1.365809331E0,3.133237757E2,4.695989844E0,5.640870906E0
1.155551807E2,6.508799429E1,2.538275027E1,1.357435194E0,1.453327268E0,3.157771818E2,4.741142015E0,5.572553222E0
1.165551745E2,6.508800528E1,2.538272784E1,1.497152059E0,1.454079412E0,3.153588206E2,4.670563847E0,5.797410548E0
1.175551729E2,6.508801498E1,2.538270110E1,1.454992617E0,1.422391709E0,3.146910595E2,4.632744172E0,5.791669311E0
1.185551633E2,6.508802591E1,2.538268526E1,1.590658754E0,1.415039067E0,3.186955693E2,4.560336011E0,5.561245586E0
1.195551625E2,6.508803993E1,2.538268176E1,2.209540264E0,1.300867137E0,3.341229410E2,4.494622901E0,5.780691210E0
1.205551505E2,6.508805070E1,2.538267397E1,2.656090197E0,1.079752552E0,3.420205173E2,4.575030894E0,5.505089004E0
1.215551485E2,6.508806250E1,2.538263584E1,2.305290320E0,1.402328936E0,3.236289594E2,4.622322692E0,5.201815760E0
1.225551387E2,6.508806819E1,2.538260606E1,2.056006199E0,1.432122081E0,3.085417270E2,4.582624936E0,5.576110453E0
1.235551323E2,6.508807465E1,2.538257382E1,1.773452579E0,1.436416274E0,3.006439867E2,4.566970459E0,5.600456144E0
1.245551264E2,6.508808333E1,2.538255042E1,1.869239092E0,1.479827115E0,3.033365511E2,4.528648261E0,5.420775998E0
1.255551194E2,6.508808963E1,2.538252362E1,1.416446806E0,1.465518666E0,3.017273182E2,4.519738948E0,5.507796569E0
1.265551128E2,6.508809711E1,2.538250003E1,1.358814622E0,1.412924018E0,3.033240262E2,4.478830054E0,5.403024777E0
1.275551064E2,6.508810647E1,2.538247399E1,1.344651579E0,1.462594902E0,3.071363263E2,4.495855825E0,5.515464464E0
1.285550996E2,6.508811617E1,2.538245254E1,1.263799862E0,1.428910186E0,3.100426470E2,4.565056692E0,5.597970267E0
1.295550933E2,6.508812486E1,2.538242603E1,1.255301661E0,1.497291602E0,3.082306737E2,4.515171861E0,5.523137891E0
1.305550864E2,6.508813402E1,2.538240728E1,1.333050529E0,1.447200684E0,3.118917790E2,4.424832269E0,5.467526504E0
1.315550798E2,6.508814436E1,2.538238891E1,1.246894857E0,1.415902988E0,3.159702400E2,4.336956277E0,5.257274185E0
1.325550728E2,6.508815774E1,2.538237518E1,1.303951266E0,1.477710712E0,3.255623566E2,4.328232544E0,4.981826920E0
1.335570660E2,6.508816957E1,2.538236390E1,9.635354914E-1,1.404252500E0,3.320423179E2,4.360961367E0,5.187584781E0
1.345570229E2,6.508818420E1,2.538235284E1,1.063730488E0,1.527828926E0,3.394627167E2,4.403265244E0,5.045410236E0
1.355569426E2,6.508819510E1,2.538235062E1,1.164887351E0,1.355070500E0,3.468807962E2,4.378716806E0,5.244600321E0
1.365568820E2,6.508820669E1,2.538235261E1,9.206656339E-1,1.180275793E0,3.551558618E2,4.295081870E0,4.700925362E0
